Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status
openssl/test/nodefltctxtest,298882,1,3588,3588,190811,53.1803232998885,1,0,0.988137666545443,0.0118623334545575,4959784.0,1.56192183494568,True
openssl/test/ocspapitest,759,1,68,19,3538,52.0294117647059,1,0,0.917775090689238,0.0822249093107618,103920.0,1.1408212184906,True
openssl/test/ossl_store_test,11034,1,89,14,4738,53.2359550561798,1,0,0.991998561539153,0.00800143846084689,4995080.0,1.22815489768982,True
openssl/test/packettest,2209,1,1532,1532,60359,39.3988250652742,1,0,0.590483827853515,0.409516172146485,115536.0,1.31277298927307,True
openssl/test/pairwise_fail_test,91032,1,1668,1594,63717,38.1996402877698,1,0,0.982006472491909,0.0179935275080906,4959912.0,1.41375064849854,True
openssl/test/param_build_test,118022,1,2065,2061,108784,52.6799031476998,1,0,0.982804133669756,0.0171958663302439,4976576.0,1.56228184700012,True
openssl/test/params_api_test,0,1,0,0,0,0,1,0,0,0,122760.0,1.08123373985291,True
openssl/test/params_conversion_test,674,1,68,19,3538,52.0294117647059,1,0,0.908355795148248,0.091644204851752,107664.0,1.2800829410553,True
openssl/test/params_test,130819,1,1799,1799,68655,38.1628682601445,1,0,0.986434722285059,0.0135652777149407,4969504.0,1.46449446678162,True
openssl/test/pbelutest,612,1,1504,1504,59237,39.3863031914894,1,0,0.289224952741021,0.710775047258979,97584.0,1.32091975212097,True
openssl/test/pbetest,830,1,4736,4736,148868,31.433277027027,1,0,0.149119655048509,0.850880344951491,98528.0,1.52311730384827,True
openssl/test/pem_read_depr_test,829,1,68,19,3538,52.0294117647059,1,0,0.924191750278707,0.0758082497212932,98392.0,1.12409663200378,True
openssl/test/pemtest,0,1,0,0,0,0,1,0,0,0,102976.0,1.06914639472961,True
openssl/test/pkcs12_api_test,0,1,0,0,0,0,1,0,0,0,124840.0,1.0261721611023,True
openssl/test/pkcs12_format_test,0,1,0,0,0,0,1,0,0,0,129456.0,1.12516474723816,True
openssl/test/pkcs7_test,582,1,8249,8249,348486,42.2458479815735,1,0,0.0659042011097271,0.934095798890273,98160.0,2.40044593811035,True
openssl/test/pkey_meth_kdf_test,727,1,8049,8049,1590549,197.608274319791,1,0,0.0828395624430264,0.917160437556974,102904.0,2.82462024688721,True
openssl/test/pkey_meth_test,666,1,1505,1505,59258,39.3740863787375,1,0,0.306771073238139,0.693228926761861,97928.0,1.31798052787781,True
openssl/test/poly1305_internal_test,123905,1,1584,1584,62056,39.1767676767677,1,0,0.98737737969065,0.0126226203093498,5066296.0,1.39479637145996,True
openssl/test/priority_queue_test,90294742,1,8210,8210,115674570,14089.4725943971,1,0,0.999909083813783,9.09161862172568E-05,102912.0,20.6810109615326,True
openssl/test/property_test,10774683,1,163959,163959,7284978,44.4317054873474,1,0,0.985011027877135,0.014988972122865,4977232.0,2.51667714118958,True
openssl/test/prov_config_test,8831,1,89,14,4738,53.2359550561798,1,0,0.990022421524664,0.00997757847533632,4959856.0,1.25004839897156,True
openssl/test/provfetchtest,4179659,1,38965,38965,4328701,111.09203131015,1,0,0.990763575990655,0.00923642400934523,4961000.0,2.19948315620422,True
openssl/test/provider_default_search_path_test,0,1,0,0,0,0,1,0,0,0,97776.0,0.917202949523926,True
openssl/test/provider_fallback_test,635,1,6648,6648,203346,30.5875451263538,1,0,0.0871893450501167,0.912810654949883,98064.0,1.47405362129211,True
openssl/test/provider_internal_test,501080,1,5002,5002,309289,61.8330667732907,1,0,0.990116226224209,0.00988377377579128,4961016.0,1.64406561851501,True
openssl/test/provider_pkey_test,0,1,0,0,0,0,1,0,0,0,120408.0,1.10882616043091,True
openssl/test/provider_status_test,3633,1,164,2,8790,53.5975609756098,1,1,0.95680800632078,0.0431919936792204,4960032.0,1.31289148330688,True
openssl/test/provider_test,286786,1,3355,3355,119638,35.6596125186289,1,0,0.988436656660038,0.0115633433399623,4965344.0,1.56638193130493,True
openssl/test/punycode_test,106897,1,1605,1605,63326,39.4554517133956,1,0,0.98520764594201,0.0147923540579897,4960048.0,1.35897469520569,True
